drug,bcs_class,title,pmcid,pmc_url,ph_1_2,ph_6_8,notes
ibuprofen,II,Comparative Studies on the Dissolution Profiles of Oral Ibuprofen Suspension and Commercial Tablets using BCS Criteria,PMC3630726,https://pmc.ncbi.nlm.nih.gov/articles/PMC3630726/,Y,Y,buffers pH 1.0/4.5/6.8/7.2; pH-dependent release
ibuprofen,II,In Silico Prediction of Drug Dissolution and Absorption with variation in Intestinal pH for BCS Class II Weak Acids: Ibuprofen and Ketoprofen,PMC3466597,https://pmc.ncbi.nlm.nih.gov/articles/PMC3466597/,Y,Y,weak-acid pH-dependent dissolution modeling
ibuprofen,II,Solubility vs Dissolution in Physiological Bicarbonate Buffer,PMC11116206,https://pmc.ncbi.nlm.nih.gov/articles/PMC11116206/,Y,Y,phosphate vs bicarbonate buffer
ketoprofen,II,Exploration of the Safety and Solubilization Dissolution Analgesic Effects of Common Basic Excipients on the NSAID Ketoprofen,PMC9964971,https://pmc.ncbi.nlm.nih.gov/articles/PMC9964971/,Y,Y,USP buffers pH 1.2/4.5/6.8
ketoprofen,II,Toward an In Vivo Dissolution Methodology: A Comparison of Phosphate and Bicarbonate Buffers,PMC3346296,https://pmc.ncbi.nlm.nih.gov/articles/PMC3346296/,Y,Y,pH 1.2 SGF then pH 6.8; multi-drug
indomethacin,II,Colon Specific Delivery of Indomethacin: Effect of Incorporating pH Sensitive Polymers in Xanthan Gum Matrix Bases,PMC2690786,https://pmc.ncbi.nlm.nih.gov/articles/PMC2690786/,Y,Y,HCl pH 1.2 then phosphate buffer
indomethacin,II,Dissolution Studies of Physical Mixtures of Indomethacin with Alpha- and Gamma-Cyclodextrins,PMC5504495,https://pmc.ncbi.nlm.nih.gov/articles/PMC5504495/,Y,Y,pH-dependent solubility/dissolution
indomethacin,II,Characterization of Indomethacin Release from Polyethylene Glycol Tablet Fabricated With Mold Technique,PMC2883233,https://pmc.ncbi.nlm.nih.gov/articles/PMC2883233/,Y,Y,pH 2 HCl then pH 6.8 phosphate
indomethacin,II,Quantification of crystallinity during indomethacin polymorphic transformation and dissolution in aqueous buffer,PMC10825737,https://pmc.ncbi.nlm.nih.gov/articles/PMC10825737/,?,Y,phosphate buffer pH 6.8 (835 ug/ml)
diclofenac,II,Effect of Plasticizer on Release Kinetics of Diclofenac Sodium Pellets Coated with Eudragit RS 30 D,PMC2628260,https://pmc.ncbi.nlm.nih.gov/articles/PMC2628260/,Y,Y,0.1N HCl 2h then phosphate buffer pH 6.8
diclofenac,II,Pharmaceutical quality of seven brands of diclofenac tablet on the Saudi market,PMC7694918,https://pmc.ncbi.nlm.nih.gov/articles/PMC7694918/,Y,Y,0.1N HCl 2h then buffer pH 6.8
diclofenac,II,Development of a Biphasic-Release Multiple-Unit Pellet System with Diclofenac Sodium,PMC8228657,https://pmc.ncbi.nlm.nih.gov/articles/PMC8228657/,Y,Y,phosphate buffer pH 6.8; UV 276 nm
carvedilol,II,pH-Dependent Solubility and Dissolution Behavior of Carvedilol - Case Example of a Weakly Basic BCS Class II Drug,PMC4984888,https://pmc.ncbi.nlm.nih.gov/articles/PMC4984888/,Y,Y,HCl pH1.2/acetate4.5/phosphate6.8; key OA reference
carvedilol,II,Development and Validation of New Discriminative Dissolution Method for Carvedilol Tablets,PMC3425064,https://pmc.ncbi.nlm.nih.gov/articles/PMC3425064/,Y,Y,discriminative dissolution media
naproxen,II,Influences of novel microwave drying on dissolution of new formulated naproxen sodium,PMC9080256,https://pmc.ncbi.nlm.nih.gov/articles/PMC9080256/,Y,Y,pH 1.2 and pH 6.8 phosphate buffer prep
piroxicam,II,Pharmaceutical Cocrystal of Piroxicam: Design Formulation and Evaluation,PMC5651061,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651061/,Y,Y,HCl1.2/acetate4.5/phosphate6.8 and 7.4
piroxicam,II,Crystal Structure Transformations and Dissolution Studies of Cimetidine-Piroxicam Coprecipitates and Physical Mixtures,PMC2802155,https://pmc.ncbi.nlm.nih.gov/articles/PMC2802155/,Y,?,pH-dependent dissolution
